model_name,notebook,spatial_resolution,temporal_resolution,unit_id,median_demand,rmse,mae,r2,skill,relative_mae,last_run_at
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,69,10.0,6.38,4.91,-0.1376,0.0,0.4463636363636363,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,70,2.0,1.54,1.12,0.3976,0.0,0.3733333333333333,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,71,5.0,2.89,2.17,0.2743,0.0,0.3616666666666666,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,72,1.0,1.81,1.26,0.0013,0.0,0.63,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,73,4.0,3.01,2.3,-0.1545,0.0,0.4599999999999999,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,74,0.0,0.76,0.6,-0.0452,0.0,0.6,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,75,4.0,3.49,2.68,-0.4158,0.0,0.536,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,76,553.5,135.61,97.63,0.8533,0.0,0.176068530207394,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,77,27.0,8.46,6.09,0.8649,0.0,0.2175,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,1,13.0,5.71,4.47,0.5933,-0.146153846153846,0.3192857142857143,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,2,16.0,6.19,5.11,0.5899,0.1469115191986644,0.3005882352941176,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,3,41.0,32.55,22.82,0.3942,-0.4934554973821989,0.5433333333333333,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,4,8.0,4.65,3.38,0.6302,-0.2028469750889678,0.3755555555555555,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,5,6.0,4.11,2.87,0.3987,-0.157258064516129,0.41,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,6,86.0,68.45,47.71,0.2589,-0.4003522160258292,0.5483908045977012,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,7,56.0,53.13,35.57,0.1711,-0.2537892139584068,0.6240350877192983,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,8,553.0,325.27,236.76,0.5246,-0.4189991009889122,0.4273646209386281,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,9,0.0,1.01,0.72,-0.6825,-0.0285714285714286,0.72,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,10,5.0,3.19,2.47,-0.2854,-0.0334728033472804,0.4116666666666667,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,11,3.0,2.07,1.63,-0.076,-0.0316455696202531,0.4075,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,12,3.0,2.34,1.8,-0.3083,0.0575916230366491,0.45,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,13,2.0,1.72,1.32,0.3681,0.1592356687898088,0.44,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,14,4.0,2.44,1.88,0.1507,0.0829268292682926,0.376,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,15,3.0,2.17,1.68,0.3639,0.111111111111111,0.42,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,16,7.0,3.53,2.79,0.3923,0.146788990825688,0.34875,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,17,1.0,1.0,0.7,0.2877,0.0410958904109589,0.35,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,18,0.0,0.73,0.48,-0.8181,-0.2972972972972973,0.48,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,19,2.0,1.55,1.16,-0.0273,-0.1262135922330096,0.3866666666666666,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,20,0.0,0.92,0.67,-0.5294,-0.1754385964912281,0.67,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,21,4.0,2.72,2.01,0.1946,-0.0307692307692306,0.4019999999999999,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,22,10.0,8.84,5.44,0.1842,-0.2391799544419135,0.4945454545454545,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,23,2.0,1.65,1.27,0.3055,0.0078125,0.4233333333333333,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,24,24.0,31.87,21.25,-0.0615,-0.1740331491712705,0.85,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,25,5.0,2.72,2.08,0.2784,0.0672645739910313,0.3466666666666667,2026-07-17T19:23:07
"LinearSVR (full data, no kernel)",03.01_prediction_svm_CA_4h.ipynb,community_area,4h,26,1.0,1.4,1.05,-0.2064,-0.1797752808988764,0.525,2026-07-17T19:23:07
